Path,Lcdate,LC3,Ldec,Lmass,Acdate,Atof,TOF,Avinf,Adec,EPprop,EPMassFracLaunch,Neng,P0
367,20270601,61.703692,-7.7548061,1521.2241,20340601,2556.75,7,12.525353,70.108866,201.3,0.132327643,2,25
367,20280612,60.327847,-2.0409649,1583.0483,20360612,2922,8,9.2660609,73.644396,210.8,0.133160814,2,25
367,20280611,58.812712,-2.03775,1652.5186,20370612,3287.25,9,7.6968431,74.631305,218.1,0.13198036,2,25
367,20280611,57.975953,-1.8848081,1691.5215,20380611,3652.5,10,6.4942674,75.699215,214.3,0.126690675,2,25
367,20290625,58.565854,3.7021233,1663.9775,20400624,4017.75,11,5.4124358,80.039429,221,0.132814296,2,25
367,20290629,64.147646,3.9425682,1414.2713,20360628,2556.75,7,10.543198,76.035375,203,0.143536816,2,25
367,20290627,61.960911,3.7600732,1509.7965,20370627,2922,8,8.6737081,77.075712,208.8,0.138296784,2,25
367,20290626,60.350125,3.7353683,1582.0377,20380626,3287.25,9,7.2845571,78.12531,218.5,0.138113017,2,25
367,20290625,59.432135,3.7622204,1623.9395,20390626,3652.5,10,6.2245201,79.141243,216,0.133009881,2,25
367,20290625,58.733961,3.7327916,1656.1698,20400625,4017.75,11,5.4107827,80.037749,214.9,0.129757227,2,25
367,20290627,62.037437,3.7920796,1506.4045,20370627,2922,8,8.6719827,77.073238,206.1,0.136815842,2,25
367,20290626,60.476541,3.7740952,1576.3094,20380626,3287.25,9,7.2821568,78.12134,212.9,0.135062317,2,25
367,20290625,59.410659,3.7357613,1624.9262,20390626,3652.5,10,6.2246057,79.1418,216.8,0.133421444,2,25
367,20300709,60.374394,9.4654022,1580.9372,20410709,4017.75,11,5.5099987,81.170285,212.7,0.134540449,2,25
367,20300712,64.058602,10.314946,1418.1051,20380712,2922,8,8.4484397,80.030029,201.7,0.142232053,2,25
367,20300711,62.323794,10.175404,1493.7436,20390711,3287.25,9,7.1894405,80.727067,210.3,0.140787214,2,25
367,20300710,61.132405,9.5268849,1546.7515,20400709,3652.5,10,6.2365353,81.153563,213.3,0.137901919,2,25
367,20300709,60.321014,9.4632558,1583.3583,20410709,4017.75,11,5.5077847,81.169768,211.7,0.133703155,2,25
367,20300714,66.251381,9.9722187,1325.0486,20370713,2556.75,7,10.149023,79.186391,199.1,0.15025864,2,25
367,20300712,64.12879,10.339891,1415.0828,20380712,2922,8,8.4502662,80.032789,201.8,0.142606496,2,25
367,20300711,62.293377,10.203309,1495.0861,20390711,3287.25,9,7.1910258,80.72861,211.9,0.141730968,2,25
367,20300710,61.1298,9.476943,1546.8684,20400710,3652.5,10,6.2367414,81.15392,214,0.138344025,2,25
367,20310725,61.995295,14.743848,1508.272,20420725,4017.75,11,5.8282818,80.533303,213.2,0.141353814,2,25
367,20310729,68.591157,15.662824,1228.785,20380729,2556.75,7,10.17063,81.221257,195.3,0.158937487,2,25
367,20310728,66.201754,15.368797,1327.1239,20390728,2922,8,8.5741363,81.54681,200.6,0.151153935,2,25
367,20310726,64.365872,15.129172,1404.8957,20400726,3287.25,9,7.3946434,81.575269,207.5,0.147697797,2,25
367,20300710,61.158892,9.4808213,1545.5634,20400710,3652.5,10,6.235961,81.153561,212.8,0.13768442,2,25
367,20310725,62.079835,14.7552,1504.5267,20420725,4017.75,11,5.8263804,80.5329,210.1,0.139645245,2,25
367,20300714,66.284179,10.027582,1323.6779,20370713,2556.75,7,10.149017,79.185452,197.1,0.148903294,2,25
367,20310728,66.226148,15.350062,1326.1036,20390728,2922,8,8.5732483,81.546691,200.8,0.15142105,2,25
367,20310727,64.528972,15.179097,1397.9068,20400726,3287.25,9,7.3921389,81.574837,202.6,0.144930978,2,25
367,20310726,62.918731,14.848893,1467.5995,20410725,3652.5,10,6.5059709,81.235915,215.1,0.146565872,2,25
367,20320810,64.15221,19.494205,1414.075,20430810,4017.75,11,6.3191381,79.8953,202.7,0.143344589,2,25
367,20310729,68.623523,15.654993,1227.4749,20380729,2556.75,7,10.172223,81.222039,195,0.158862719,2,25
367,20320812,68.755401,20.163559,1222.1421,20400812,2922,8,8.9951675,81.798709,194.3,0.158983149,2,25
367,20310727,64.458669,15.072598,1400.9174,20400726,3287.25,9,7.3960824,81.57554,207.3,0.147974463,2,25
367,20310726,63.198958,14.996238,1455.3594,20410725,3652.5,10,6.5007398,81.235722,204.4,0.140446408,2,25
367,20310725,61.955205,14.733183,1510.0497,20420725,4017.75,11,5.8286599,80.533391,214.5,0.142048305,2,25
367,20330828,73.624674,23.911137,1031.7525,20400828,2556.75,7,11.208198,82.15143,184.8,0.179112723,2,25
367,20320812,68.622113,20.125395,1227.5319,20400812,2922,8,8.9930776,81.798401,196.5,0.160077306,2,25
